[2026-05-18T08:01:09.083Z] GET http://localhost:5177/node_modules/vite/dist/client/env.mjs → 200 (1ms, 4438B)
[2026-05-18T08:01:09.084Z] GET http://localhost:5177/src/App.vue?vue&type=style&index=0&lang.css → 200 (1ms, 591B)
[2026-05-18T08:01:09.084Z] GET http://localhost:5177/@id/__x00__plugin-vue:export-helper → 200 (1ms, 1126B)
[2026-05-18T08:01:09.084Z] GET http://localhost:5177/node_modules/.vite/deps/vue-router.js?v=d3b55959 → 200 (?ms, 94289B)
[2026-05-18T08:01:09.096Z] GET http://localhost:5177/src/views/Layout.vue → 200 (58ms, 33988B)
[2026-05-18T08:01:09.096Z] GET http://localhost:5177/src/views/BatchManage.vue → 200 (58ms, 141834B)
[2026-05-18T08:01:09.155Z] GET http://localhost:5177/src/stores/auth.js → 200 (1ms, 4284B)
[2026-05-18T08:01:09.155Z] GET http://localhost:5177/src/views/Layout.vue?vue&type=style&index=0&scoped=60489549&lang.css → 200 (1ms, 3396B)
[2026-05-18T08:01:09.155Z] GET http://localhost:5177/src/api/batch.js → 200 (1ms, 2663B)
[2026-05-18T08:01:09.155Z] GET http://localhost:5177/src/api/employee.js → 200 (1ms, 3048B)
[2026-05-18T08:01:09.155Z] GET http://localhost:5177/node_modules/.vite/deps/qrcode.js?v=2c3859c9 → 200 (?ms, 62736B)
[2026-05-18T08:01:09.155Z] GET http://localhost:5177/src/views/BatchManage.vue?vue&type=style&index=0&scoped=2dc62e52&lang.css → 200 (2ms, 2704B)
[2026-05-18T08:01:09.159Z] GET http://localhost:5177/src/api/request.js → 200 (2ms, 11672B)
[2026-05-18T08:01:09.161Z] GET http://localhost:5177/node_modules/.vite/deps/axios.js?v=bc9b4507 → 200 (?ms, 99771B)
[2026-05-18T08:01:09.184Z] GET http://localhost:5177/api/v1/batches?page=1&pageSize=20 → 200 (9ms, 1824B)
[2026-05-18T08:01:09.203Z] GET http://localhost:5177/node_modules/@fontsource/jetbrains-mono/files/jetbrains-mono-latin-400-normal.woff2 → 304 (1ms, ?B)
[2026-05-18T08:01:56.972Z] GET http://localhost:5177/employee-vouchers → pending (?ms, ?B)
[2026-05-18T08:01:57.285Z] GET http://localhost:5177/@vite/client → 200 (2ms, 137703B)
[2026-05-18T08:01:57.285Z] GET http://localhost:5177/src/main.js → 200 (3ms, 4138B)
[2026-05-18T08:01:57.288Z] GET http://localhost:5177/node_modules/vite/dist/client/env.mjs → 200 (5ms, 4438B)
[2026-05-18T08:01:57.289Z] GET http://localhost:5177/node_modules/.vite/deps/vue.js?v=8391144a → 200 (?ms, 5709B)
[2026-05-18T08:01:57.290Z] GET http://localhost:5177/node_modules/.vite/deps/element-plus.js?v=dad2b4ee → 200 (?ms, 2362252B)
[2026-05-18T08:01:57.290Z] GET http://localhost:5177/node_modules/element-plus/dist/index.css → 200 (4ms, 357900B)
[2026-05-18T08:01:57.291Z] GET http://localhost:5177/node_modules/.vite/deps/element-plus_dist_locale_zh-cn__mjs.js?v=730bc7f1 → 200 (?ms, 5518B)
[2026-05-18T08:01:57.291Z] GET http://localhost:5177/node_modules/.vite/deps/@element-plus_icons-vue.js?v=f05f4e96 → 200 (?ms, 16119B)
[2026-05-18T08:01:57.291Z] GET http://localhost:5177/node_modules/@fontsource/jetbrains-mono/index.css → 200 (2ms, 3654B)
[2026-05-18T08:01:57.291Z] GET http://localhost:5177/src/App.vue → 200 (3ms, 2271B)
[2026-05-18T08:01:57.291Z] GET http://localhost:5177/src/router/index.js → 200 (2ms, 11439B)
[2026-05-18T08:01:57.291Z] GET http://localhost:5177/src/styles/global.css → 200 (2ms, 5789B)
[2026-05-18T08:01:57.291Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-UC4PQXLF.js?v=2adafd80 → 200 (?ms, 386310B)
[2026-05-18T08:01:57.291Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-G3PMV62Z.js?v=2adafd80 → 200 (?ms, 1540B)
[2026-05-18T08:01:57.291Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-BXRPTJTD.js?v=2adafd80 → 200 (?ms, 239109B)
[2026-05-18T08:01:57.293Z] GET http://localhost:5177/node_modules/.vite/deps/vue-router.js?v=d3b55959 → 200 (?ms, 94289B)
[2026-05-18T08:01:57.294Z] GET http://localhost:5177/src/App.vue?vue&type=style&index=0&lang.css → 200 (43ms, 591B)
[2026-05-18T08:01:57.294Z] GET http://localhost:5177/@id/__x00__plugin-vue:export-helper → 200 (43ms, 1126B)
[2026-05-18T08:01:57.350Z] GET http://localhost:5177/src/views/Layout.vue → 200 (2ms, 33988B)
[2026-05-18T08:01:57.350Z] GET http://localhost:5177/src/views/EmployeeVouchers.vue → 200 (10ms, 55927B)
[2026-05-18T08:01:57.352Z] GET http://localhost:5177/src/stores/auth.js → 200 (11ms, 4284B)
[2026-05-18T08:01:57.352Z] GET http://localhost:5177/src/views/Layout.vue?vue&type=style&index=0&scoped=60489549&lang.css → 200 (11ms, 3396B)
[2026-05-18T08:01:57.360Z] GET http://localhost:5177/node_modules/.vite/deps/qrcode.js?v=2c3859c9 → 200 (?ms, 62736B)
[2026-05-18T08:01:57.360Z] GET http://localhost:5177/src/api/voucher.js → 200 (3ms, 3894B)
[2026-05-18T08:01:57.360Z] GET http://localhost:5177/src/views/EmployeeVouchers.vue?vue&type=style&index=0&scoped=17eecd25&lang.css → 200 (3ms, 1598B)
[2026-05-18T08:01:57.363Z] GET http://localhost:5177/src/api/request.js → 200 (1ms, 11672B)
